编号,城市,名称,星级,评分,价格,销量,省/市/区,坐标,简介,是否免费,具体地址,星级编码,经度,纬度
509,天津,天津泰达航母主题公园,4,0.6061248557233906,220.0,0.007503726165390348,天津·天津·滨海新区,"117.815028,39.162205",军事主题公园,0,天津市滨海新区汉沽汉北路269号,0.75,117.815028,39.162205
510,天津,天津方特欢乐世界,1,0.5758267677021128,280.0,0.007195353857223622,天津·天津·滨海新区,"117.743299,39.159433",京津冀地区首家“科幻”高科技公园,0,天津市滨海新区中新生态城中生大道北首生态岛内,0.75,117.743299,39.159433
511,天津,石家大院,4,0.5455286796808351,22.0,0.006989772318445804,天津·天津·西青区,"117.017172,39.14089",现为民俗博物馆，是清代津门八大家之一,0,天津市西青区杨柳青镇估衣街47号,0.0,117.017172,39.14089
512,天津,吉姆冒险世界,1,0.7011357093665588,88.0,0.006989772318445804,天津·天津·蓟县,"117.494967,40.184272",由国际专业规划设计大师亲自设计建造的，北美风格大型、无动力、户外探索主题、家庭亲子乐园----吉姆冒险世界于正式营业了，,0,天津市蓟州区马营公路南吉姆冒险世界景区售票处,0.0,117.494967,40.184272
513,天津,天津古文化街,5,0.7011357093665588,0.5,0.00555070154700108,天津·天津·南开区,"117.198268,39.149537",充满浪漫气息的旅游步行街,0,天津市南开区通北路与东马路交口附近,0.0,117.198268,39.149537
514,天津,天津蓟州黄崖关长城景区,4,0.5758267677021128,78.0,0.004933956930667626,天津·天津·蓟县,"117.451814,40.250234",将万里长城精华荟萃于一地，文化内涵丰富,0,天津市蓟县下营镇黄崖关村卫围公路28公里,0.75,117.451814,40.250234
515,天津,梨木台,4,0.7011357093665588,65.0,0.004420003083723082,天津·天津·蓟县,"117.550909,40.203451",”天津的神农架“和”北方的热带雨林“,0,天津市蓟县蓟县下营镇船舱峪村北,0.0,117.550909,40.203451
516,天津,庆王府,1,0.7011357093665588,18.5,0.004008840006167446,天津·天津·和平区,"117.214351,39.119385",折衷主义风格，景致幽雅宜人,0,天津市和平区重庆道55号庆王府院内(近民园体育场),0.75,117.214351,39.119385
517,天津,意式风情街,1,0.6061248557233906,80.0,0.0037004676980007195,天津·天津·河北区,"117.206871,39.140884",浓浓意大利风情，让你不出国游遍意大利,0,天津市河北区光复道8号,0.75,117.206871,39.140884
518,天津,天津亿利生态精灵乐园,1,0.5758267677021128,143.5,0.0031865138510561754,天津·天津·滨海新区,"117.742026,39.150071",“天津亿利精灵乐园”，项目包括精灵乐园、生态廊道、四季冰雪馆、天鹿迎宾四部分，在对山、水、林、田、湖等生态环境综合修复治,0,天津市滨海新区中新生态城,0.0,117.742026,39.150071
519,天津,张学良故居,4,0.7011357093665588,40.0,0.0030837230816672667,天津·天津·和平区,"117.208211,39.129784",体味张学良将军生活的原貌,0,天津市和平区赤峰道78号,0.0,117.208211,39.129784
520,天津,五大道,1,0.7011357093665588,1.7,0.002672560004111631,天津·天津·和平区,"117.20394,39.116079",具有罗马建筑风格,0,天津市和平区睦南道,0.0,117.20394,39.116079
521,天津,光合谷旅游度假区,4,0.7011357093665588,0.5,0.0023641876959449044,天津·天津·静海县,"117.181526,38.899352",独具特色的北方生态文化旅游胜地,0,天津市静海县团泊镇新城东区光合谷旅游度假区,0.5,117.181526,38.899352
522,天津,独乐寺,4,0.7011357093665588,39.0,0.0022613969265559957,天津·天津·蓟县,"117.410073,40.05099",一座享誉中外的千年古刹,0,天津市蓟县城内武定街41号,0.75,117.410073,40.05099
523,天津,九山顶,1,0.7011357093665588,49.0,0.002158606157167086,天津·天津·蓟县,"117.519888,40.226909",回归自然的理想场所、寻奇探幽的野趣乐园,0,天津市蓟县下营镇常州村,0.0,117.519888,40.226909
524,天津,天津市动物园,1,0.5455286796808351,39.0,0.0020558153877781775,天津·天津·南开区,"117.171325,39.088378",树木葱茂，碧草连茵，天水一色,0,天津市南开区水上公园南端,0.0,117.171325,39.088378
525,天津,天津蓟州车神架风景区,1,0.7011357093665588,79.3,0.0019530246183892686,天津·天津·蓟县,"117.456886,40.1921",尘封了18亿年大自然界的旷世绝境,0,天津市蓟州区下营镇政府驻地北3公里处车神架风景区,0.0,117.456886,40.1921
526,天津,蓟州溶洞,3,0.5455286796808351,70.0,0.001747443079611451,天津·天津·蓟县,"117.383484,40.137052",洞内景观晶莹剔透，千姿百态，绚丽多姿,0,天津市蓟县罗庄子镇洪水庄村北灵气山下,0.0,117.383484,40.137052
527,天津,天津之眼摩天轮,4,0.7011357093665588,1.4,0.001747443079611451,天津·天津·河北区,"117.193805,39.160233",华灯初上，享受别样浪漫,0,天津市河北区三岔河口永乐桥上,0.0,117.193805,39.160233
528,天津,东丽湖恒大世博国际温泉,1,0.7011357093665588,140.0,0.001644652310222542,天津·天津·东丽区,"117.486286,39.198555",冷雾温泉新概念,0,天津市东丽区东丽湖旅游度假区东丽大道1037号,0.0,117.486286,39.198555
529,天津,杨柳青古镇,1,0.727317207808501,8.0,0.0014390707714447243,天津·天津·西青区,"117.021442,39.134669",集古文化、旅游、商贸、影视为一体的金街,0,天津市西青区杨柳青古镇景区,0.0,117.021442,39.134669
530,天津,塘沽外滩游船,1,0.7011357093665588,88.0,0.0012334892326669065,天津·天津·滨海新区,"117.670044,39.017552",乘一叶扁舟，体会外滩的静谧,0,天津市滨海新区塘沽海昌商业街17号楼对面游船码头,0.75,117.670044,39.017552
531,天津,中华石园,1,0.7011357093665588,20.0,0.0012334892326669065,天津·天津·津南区,"117.283125,39.048466",千层丝挂、莲花飞瀑、别有洞天,0,天津市津南区外环线64号,0.0,117.283125,39.048466
532,天津,仁爱团泊湖温泉中心,1,0.7011357093665588,79.0,0.0011306984632779976,天津·天津·团泊风景区,"117.163499,38.911271",大型室外温泉游泳池及六大主题温泉,0,天津市静海县团泊新城团泊湖庭院,0.0,117.163499,38.911271
533,天津,海河公园,1,0.7011357093665588,98.0,0.0011306984632779976,天津·天津·和平区,"117.218779,39.136942",海河公园、游玩、休憩的地方之一。在三岔口紧靠狮子林桥的水面上，有两组铜质塑像，这是海河公园的起点。其中，一组塑像是两条雄,0,天津市和平区台儿庄路,0.75,117.218779,39.136942
534,天津,瓷房子,1,0.7011357093665588,0.5,0.0009251169245001799,天津·天津·和平区,"117.202575,39.124825",一座价值连城的中国古瓷博物馆,0,天津市和平区赤峰道72号,0.0,117.202575,39.124825
535,天津,天山海世界米立方,4,0.6061248557233906,78.0,0.0007195353857223621,天津·天津·津南区,"117.444724,38.933377",恒温水上欢乐，满足你爱水的天性,0,天津市津南区天津市津南区小站镇津歧路与盛塘路交汇处,0.5,117.444724,38.933377
536,天津,张园,1,0.7011357093665588,24.0,0.0006167446163334533,天津·天津·和平区,"117.20457213713,39.13652060648",清代两湖统制张彪的豪华宅院,0,天津和平区鞍山道59号,0.0,117.20457213713,39.13652060648
537,天津,天津白蛇谷原生态景区,1,0.7011357093665588,40.0,0.0006167446163334533,天津·天津·蓟县,"117.446735,40.253585",峰奇谷幽，植被繁茂，山林静谧，空气清新,0,天津市蓟县黄崖关长城北1公里,0.0,117.446735,40.253585
538,天津,天津武清绿博园,4,0.7011357093665588,33.0,0.0006167446163334533,天津·天津·武清区,"117.137601,39.341076",水绿相融的自然生态景观,0,天津市武清区下朱庄南湖景区,0.0,117.137601,39.341076
539,天津,盛世澜湾温泉,1,0.6970191197872234,65.0,0.0005139538469445444,天津·天津·静海县,"116.962755,38.930253",高档享受，平民价位，悠闲生活，健康消费,0,天津市静海县静海区旭华道与东方红路交口南800米,0.0,116.962755,38.930253
540,天津,天津博物馆,3,0.5455286796808351,3.0,0.0005139538469445444,天津·天津·河西区,"117.218032,39.091611",集收藏等措施为一体，天津标志性文化设施,0,天津市河西区友谊路31号　　,0.0,117.218032,39.091611
541,天津,金美达龙泽水汇戏水乐园,1,0.6061248557233906,58.0,0.0005139538469445444,天津·天津·静海县,"117.036694,38.8619",大型室内水上乐园,0,天津静海区大邱庄镇崔庄子金美达大酒店,0.0,117.036694,38.8619
542,天津,天津龙达温泉生态城,1,0.7011357093665588,58.0,0.0005139538469445444,天津·天津·滨海新区,"117.593436,38.980547",亚洲大型热带雨林生态温泉,0,天津市滨海新区塘沽新城镇天津大道,0.0,117.593436,38.980547
543,天津,天津zoonly动物主题公园,1,0.5455286796808351,115.0,0.0005139538469445444,天津·天津·和平区,"117.210571,39.133085",为探险家们打造沉浸式全方位游乐体验！,0,天津市和平区赤峰道与和平路交叉口(地铁三号线和平路站旁)天河城4楼,0.75,117.210571,39.133085
544,天津,洋货市场,1,0.6667210317659457,58.0,0.0004111630775556355,天津·天津·滨海新区,"117.663466,39.034703",首家建立的专门进行进口货交易的市场,0,天津市滨海新区洋货步行街,0.75,117.663466,39.034703
545,天津,盘山塔林,1,0.7011357093665588,385.0,0.0004111630775556355,天津·天津·天津盘山风景名胜区,"117.271143,40.096476",九十九座历代高僧的墓塔,0,天津市蓟县盘山风景区内,0.0,117.271143,40.096476
546,天津,大沽口炮台遗址,1,0.7011357093665588,25.0,0.0004111630775556355,天津·天津·滨海新区,"117.716282,38.983338",首都的海上门户，近代海防遗址之一,0,天津市滨海新区东炮台路1号（天津大道与海滨大道交口）,0.0,117.716282,38.983338
547,天津,社会山嘉佑温泉,1,0.6970191197872234,40.0,0.0004111630775556355,天津·天津·西青区,"117.057095,39.056808",给客人高质量的体验,0,天津市西青区近郊张家窝镇知景道198号。,0.0,117.057095,39.056808
548,天津,天津热带植物观光园,4,0.7011357093665588,59.0,0.0004111630775556355,天津·天津·西青区,"117.101026,39.144691",独具特色，可与英国的“伊甸园”相媲美,0,天津市西青区外环线七号桥北300米,0.0,117.101026,39.144691
549,天津,大悲禅院,4,0.7011357093665588,0.4,0.0004111630775556355,天津·天津·河北区,"117.188943,39.156246",朱门绿瓦，佛坛高筑，松柏参天，庄严静穆,0,天津市河北区天纬路中段东北侧,0.0,117.188943,39.156246
550,天津,秀水蓝湾温泉酒店,1,0.7011357093665588,23.9,0.0004111630775556355,天津·天津·西青区,"117.15537,39.076038",综合性浴场酒店,0,天津市西青区李七庄街秀川路8号A区,0.75,117.15537,39.076038
551,天津,凌奥温泉,1,0.7011357093665588,129.0,0.00030837230816672663,天津·天津·南开区,"117.180528,39.070066",享受休闲生活，放松身心，摆脱压力,0,天津市南开区凌宾路延长线凌奥花园入口,0.0,117.180528,39.070066
552,天津,西开教堂,1,0.7011357093665588,106.0,0.00020558153877781775,天津·天津·和平区,"117.195198,39.117808",为法国天主教的罗曼式建筑,0,天津市和平区西宁道9号,0.0,117.195198,39.117808
553,天津,天津观光巴士津游1号(观光5路),1,0.7011357093665588,20.0,0.00010279076938890888,天津·天津·和平区,"117.216933,39.138722",感受沿途的景点的风土人情、历史文化,0,天津市和平区津湾广场站内松江路津湾广场站,0.0,117.216933,39.138722
554,天津,乐汤汇温泉生活馆,1,0.5455286796808351,79.0,0.00010279076938890888,天津·天津·河东区,"117.239119,39.127593",打造休闲、时尚、健康、快乐的“水文化”,0,天津市河东区十三经路与津塘路交汇处（原津华圣派）,0.0,117.239119,39.127593
555,天津,精武门·中华武林园,4,0.7011357093665588,30.0,0.00010279076938890888,天津·天津·西青区,"117.141643,39.034742",世界精武之源，也是世界精武之根,0,天津市西青区精武镇小南河村,0.0,117.141643,39.034742
556,天津,海河外滩公园,1,0.7011357093665588,58.0,0.00010279076938890888,天津·天津·滨海新区,"117.670957,39.021379",华灯初上，彩灯闪烁，景色瑰丽壮观,0,天津市滨海新区海河外滩公园,0.0,117.670957,39.021379
558,天津,广川温泉酒店,1,0.7011357093665588,45.0,0.00010279076938890888,天津·天津·津南区,"117.416339,38.993584",营业面积600平米，设有温泉汤池13个,0,天津市津南区新城区中心位置南环路99号，天津大道旁（海河科技园出口处）,0.0,117.416339,38.993584
559,天津,五大道之马场道,1,0.7011357093665588,106.0,0.00010279076938890888,天津·天津·五大道,"117.206525,39.110549",五大道地区宽阔古老的马路,0,天津市河西区津港路4号,0.0,117.206525,39.110549
560,天津,霍元甲纪念馆,1,0.7011357093665588,9.0,0.00010279076938890888,天津·天津·精武门·中华武林园,"117.141349,39.035113",领略名震中外的一代武术大师的风采,0,天津市西青区南河镇小南河村（小南河中心小学附近）,0.0,117.141349,39.035113
561,天津,东方之珠洗浴（武清店）,1,0.7011357093665588,59.0,0.00010279076938890888,天津·天津·武清区,"117.078012,39.374587",五星级纯绿色服务,0,天津市武清区中信广场A座8号,0.0,117.078012,39.374587
562,天津,津门故里,1,0.7011357093665588,1.4,0.00010279076938890888,天津·天津·南开区,"117.199597,39.147369",在古代是祭祀海神和船工聚会娱乐之场所,0,天津市南开区,0.0,117.199597,39.147369
563,天津,三鼎园休闲浴都,1,0.7011357093665588,85.0,0.0,天津·天津·滨海新区,"117.481725,38.85853",秉承以客为尊的温情服务理念,0,天津市滨海新区津岐公路273号,0.0,117.481725,38.85853
564,天津,古文化街燕乐升萍相声茶馆,1,0.7576152958297787,106.0,0.0,天津·天津·南开区,"117.199764,39.147895",品着盖碗茶、嗑着瓜子看精彩的相声表演,0,天津市南开区古文化街美食街二楼99-4号,0.75,117.199764,39.147895
565,天津,鼓楼茶馆,1,0.5455286796808351,68.0,0.0,天津·天津·南开区,"117.187618,39.145705",津味的语言，爆笑的段子，让你笑到哭,0,天津市南开区鼓楼商业街52号,0.0,117.187618,39.145705
566,天津,圣光万豪畅洺园温泉,1,0.5455286796808351,26.5,0.0,天津·天津·蓟县,"117.46619,40.072926",寒冷冬日，为您呈现北方三亚风情,0,天津市蓟县渔阳镇凤凰山路6号,0.0,117.46619,40.072926
567,天津,二南开中学游泳馆,1,0.7011357093665588,25.0,0.0,天津·天津·和平区,"117.189375,39.134512",水质清澈透底，深度适合不同人群,0,天津市和平区荣安大街167号(近第二南开中学),0.0,117.189375,39.134512
568,天津,静园-末代皇帝溥仪旧居,1,0.7011357093665588,0.4,0.0,天津·天津·和平区,"117.195893,39.128964",溥仪住过的地方，天津小故宫,0,天津市和平区鞍山道70号,0.0,117.195893,39.128964
569,天津,Funland凡乐莱蹦床公园,1,0.7011357093665588,59.0,0.0,天津·天津·南开区,"117.127278,39.145897","Funland凡乐莱蹦床公园占地5500余㎡ 
蜂窝迷宫蹦床/泡泡足球
躲避球/滑索/蹦极
X蹦床/魔鬼滑梯/攀岩
各类",0,天津市南开区黄河道519号(盛名集团工业园内),0.0,117.127278,39.145897
570,天津,天津水上公园,4,0.7011357093665588,0.5,0.0,天津·天津·南开区,"117.168253,39.088427",大型综合性公园，是津门十景之一,0,天津市南开区水上公园北路33号,0.0,117.168253,39.088427
571,天津,天津小站练兵园,1,0.7011357093665588,38.0,0.0,天津·天津·津南区,"117.437355,38.925904",主题型历史文化旅游区,0,天津市津南区小站镇小站练兵园,0.0,117.437355,38.925904
572,天津,天津自然博物馆,1,0.7011357093665588,3.0,0.0,天津·天津·河西区,"117.191948,39.095879",1953年在原北疆博物院基础上建立。建筑面积10716平方米，其中展厅面积2700平方米、生物学科的自然博物馆之一。馆藏,0,天津市河西区马场道206号,0.0,117.191948,39.095879
573,天津,东方之珠洗浴（和平区店）,1,0.7011357093665588,46.0,0.04450840314539754,天津·天津·和平区,"117.200306,39.121397",洗浴休闲广场,0,天津市和平区贵州路2号,1.0,117.200306,39.121397
574,天津,智利风情园-卡尔的萌宠庄园,1,1.0,49.0,0.018502338490003597,天津·天津,"117.31253,40.077685",,0,天津蓟州区燕山西大街智利风情园内,1.0,117.31253,40.077685
575,天津,天津迪康高尔夫球场,1,1.0,50.0,0.017680012334892328,天津·天津·河西区,"117.226502,39.036783",设备环境俱佳的高尔夫练习场,0,天津市西青区友谊南路与梨双路交口东300米,1.0,117.226502,39.036783
576,天津,华夏未来儿童游乐园,1,0.8485095598936118,49.9,0.01757722156550342,天津·天津·河西区,"117.191066,39.089629",多种游乐设施可供选择，期待您的光临,0,天津市河西区环湖中路华夏未来儿童公园,0.75,117.191066,39.089629
577,天津,帝景温泉,1,0.9697019119787226,58.0,0.011409775402168885,天津·天津·宝坻区,"117.37086,39.546399",丰富的矿物质含量，国内罕见的保健泉,0,天津市宝坻区京津新城,0.75,117.37086,39.546399
578,天津,乐汤汇温泉生活馆（南开店）,1,0.5758267677021128,79.0,0.009251169245001798,天津·天津·南开区,"117.134367,39.143152",乐汤汇温泉生活馆（南开店）坐落于南开区黄河道507号，是集功能性温泉、游泳、汗蒸、儿童主题乐园、儿童水上乐园、健康养生理,0,天津市南开区黄河道507号,0.75,117.134367,39.143152
579,宁夏,镇北堡西部影城,5,0.727317207808501,76.0,0.006270236932723442,宁夏·银川·西夏区,"106.078785,38.620428",邂逅“东方好莱坞”,0,宁夏省银川市西夏区镇北堡西部影城,1.0,106.078785,38.620428
580,宁夏,沙湖旅游区,5,0.6061248557233906,120.0,0.0039060492367785377,宁夏·石嘴山·平罗县,"106.389074,38.820453",看珍鸟奇禽，群鸟嬉戏的绝佳之地,0,宁夏省石嘴山市平罗县境内西大滩（沙湖生态旅游区）,0.75,106.389074,38.820453
581,宁夏,沙坡头旅游区,5,0.7011357093665588,40.0,0.0037004676980007195,宁夏·中卫·沙坡头区,"105.010609,37.47778",欧亚大通道，古丝绸之路的必经之地,0,宁夏回族自治区中卫市沙坡头区迎水桥镇,0.0,105.010609,37.47778
582,宁夏,贺兰山岩画,4,0.7011357093665588,10.0,0.001644652310222542,宁夏·银川·贺兰县,"106.032253,38.742232",刻在岩石上的金戈铁马,0,宁夏回族自治区银川市贺兰县贺兰山东麓贺兰口,0.0,106.032253,38.742232
583,宁夏,西夏陵,4,0.7011357093665588,85.0,0.0014390707714447243,宁夏·银川·西夏区,"105.867708,38.559179",赏夏陵冬韵，探神秘古国,0,宁夏回族自治区银川市西夏区贺兰山东麓,0.0,105.867708,38.559179
584,宁夏,黄沙古渡原生态旅游区,4,0.7011357093665588,178.0,0.0012334892326669065,宁夏·银川·兴庆区,"106.557964,38.587458",大漠黄河，塞北江南,0,宁夏银川市兴庆区月牙湖乡,0.75,106.557964,38.587458
585,宁夏,水洞沟旅游区,5,0.5758267677021128,60.0,0.0012334892326669065,宁夏·银川·灵武市,"106.525497,38.289477",古人类、古长城遗址地,0,"宁夏银川市灵武市临河镇水洞沟旅游景区（西距银川市19公里,距机场11公里）",0.75,106.525497,38.289477
586,宁夏,贺兰山国家森林公园（苏峪口）,4,0.7011357093665588,75.0,0.0011306984632779976,宁夏·银川·贺兰县,"105.999766,38.72118",自然风光和人文景致皆有的生态旅游区,0,宁夏回族自治区银川贺兰县苏峪口,0.0,105.999766,38.72118
587,宁夏,北长滩,1,0.5455286796808351,80.0,0.0009251169245001799,宁夏·中卫·沙坡头区,"104.753975,37.352788",宁夏首批“全国历史文化名村”,0,宁夏省中卫市沙坡头北长滩景区,0.0,104.753975,37.352788
588,宁夏,黄河军事文化博览园,1,0.7011357093665588,50.0,0.0009251169245001799,宁夏·银川,"106.419571,38.353896",军事主题和文化元素相融合的军事主题旅游景区,0,宁夏银川滨河新区s203省道往陶乐方向（距临河收费站10公里处）,0.0,106.419571,38.353896
589,宁夏,张裕摩塞尔十五世酒庄,1,0.5455286796808351,80.0,0.0007195353857223621,宁夏·银川·西夏区,"106.112548,38.453937",高档综合型庄园,0,宁夏银川市西夏区经济技术开发区六盘山路359号。,0.75,106.112548,38.453937
590,宁夏,青铜峡黄河大峡谷旅游区,4,0.7011357093665588,95.0,0.0007195353857223621,宁夏·吴忠·青铜峡市,"105.998541,37.889516",素有“黄河上游小三峡”之称,0,宁夏回族自治区吴忠市青铜峡市,0.5,105.998541,37.889516
591,宁夏,鸣翠湖国家湿地公园,4,0.7011357093665588,38.0,0.0007195353857223621,宁夏·银川·兴庆区,"106.378331,38.405079",湖光戏柳，草树烟绵，百鸟翔集，鱼跃其间,0,宁夏回族自治区银川市兴庆区掌政镇东1公里,0.0,106.378331,38.405079
593,宁夏,通湖草原,1,0.7011357093665588,56.0,0.0005139538469445444,宁夏·中卫·沙坡头区,"104.93846704881,37.603261681652",晨观沙海日出，暮赏大漠孤烟，极富情趣,0,银川中卫县,0.0,104.93846704881,37.603261681652
594,宁夏,览山公园,1,0.7011357093665588,329.0,0.0005139538469445444,宁夏·银川·金凤区,"106.221865,38.536269",览山地处银川市北部，东邻亲水大街。西、南与阅海公园相依，北边与广阔的田野相连。一个由合金组合成的巨大的具有伊斯兰风格的门,0,宁夏回族自治区银川市金凤区沈阳中路,0.75,106.221865,38.536269
595,宁夏,中卫寺口子风景旅游区,4,0.7011357093665588,75.0,0.00030837230816672663,宁夏·中卫·沙坡头区,"105.453767,37.298793",塞外罕见的丹霞地貌构成了这里的奇绝之景,0,宁夏回族自治区中卫市沙坡头区宣和镇寺口风景区,0.0,105.453767,37.298793
596,宁夏,森淼生态旅游区,3,0.7011357093665588,15.0,0.00030837230816672663,宁夏·银川·银川植物园,"106.185404,38.424594",银川市郊的天然“氧吧”,0,中国宁夏省银川市金凤区银川植物园内,0.0,106.185404,38.424594
597,宁夏,沙温泉度假区,1,0.7011357093665588,128.0,0.00020558153877781775,宁夏·银川·兴庆区,"106.422123,38.441026",沙温泉度假区是以沙文化为主题的温泉度假村，位于银川市兴庆区掌政镇，紧邻北京东路，距市区不足十公里。室内温泉以西北大漠风情,0,银川市兴庆区孔司路南150米,0.0,106.422123,38.441026
598,宁夏,须弥山石窟旅游区,4,0.7011357093665588,48.0,0.00010279076938890888,宁夏·固原·原州区,"105.997735,36.281909",石窟艺术和宗教文化,0,宁夏省固原市三营镇黄铎堡街须弥山石窟文物管理所,0.0,105.997735,36.281909
599,宁夏,宁夏幻太奇海洋馆,1,0.7011357093665588,118.0,0.00010279076938890888,宁夏·银川·金凤区,"106.252743,38.501763",多功能于一体的休闲娱乐空间,0,宁夏银川市金凤区康平路悦海新天地购物广场东区1-3层,0.75,106.252743,38.501763
600,宁夏,青铜峡黄河楼,4,0.7011357093665588,68.0,0.00010279076938890888,宁夏·吴忠·青铜峡市,"106.148208,38.006734",屋面铺装金黄色琉璃瓦，整体风格恢弘大气,0,宁夏自治区吴忠青铜峡市黄河路与滨河大道交叉处,0.0,106.148208,38.006734
601,宁夏,董府,1,0.7011357093665588,28.0,0.0,宁夏·吴忠·利通区,"106.09083,37.929213",董府距宁夏回族自治区吴忠市7千米，在吴青公路北侧500米处，该府西临黄河，北倚秦渠，南与牛首山遥遥相望。董府是自治区重点,0,宁夏吴忠市利通区吴青公路北侧,0.0,106.09083,37.929213
602,宁夏,黄河外滩景区,1,1.0,40.0,0.0,宁夏·银川,"106.455419,38.370405",“百里生态长廊、万倾湖泊湿地”的诗画长廊,0,宁夏银川滨河新区横城村,0.75,106.455419,38.370405
603,宁夏,黄河坛景区,1,0.7011357093665588,40.0,0.0034948861592229022,宁夏·吴忠·青铜峡市,"105.899018,37.837951",黄河金岸的标志性建筑,0,宁夏吴忠青铜峡市广武乡黄河坛,0.0,105.899018,37.837951
604,宁夏,西夏风情园,1,0.7011357093665588,8.0,0.0020558153877781775,宁夏·银川·西夏区,"106.037151,38.489313",全景式展现西夏王朝,0,宁夏银川市北京西路1496号西夏广场斜对面,0.0,106.037151,38.489313
605,宁夏,腾格里湖湿地金沙岛,4,0.7011357093665588,40.0,0.003803258467389628,宁夏·中卫·沙坡头区,"105.126969,37.545048",沙漠中的伊甸园,0,宁夏回族自治区中卫市迎水镇城区西约7公里,0.0,105.126969,37.545048
606,宁夏,水洞沟藏兵洞,1,0.7011357093665588,358.0,0.0016960476949169966,宁夏·银川·灵武市,"106.515494,38.296065",我国最早的地道战遗址和原型,0,宁夏银川灵武市宁夏银川灵武市临河镇水洞沟旅游景区内,0.0,106.515494,38.296065
607,宁夏,宁夏园艺产业园,1,0.8182114718723342,28.0,0.00277535077350054,宁夏·银川·贺兰县,"106.328766,38.585101",集观光、休闲、度假为一体的现代化园区,0,宁夏银川市贺兰县习岗镇经济桥四社宁夏园艺产业园,0.0,106.328766,38.585101
608,宁夏,六盘山国家森林公园,4,0.7011357093665588,0.9,0.0015932569255280875,宁夏·固原·泾源县,"106.353635,35.39634",关中平原的天然屏障，三大河流的发源地,0,宁夏回族自治区固原市泾源县,0.5,106.353635,35.39634
609,宁夏,曼悦海温泉洗浴度假酒店,1,0.7011357093665588,88.0,0.0046255846225009,宁夏·银川·金凤区,"106.254687,38.500931",都市“慢文化”为特色的综合性旅游度假酒店,0,宁夏银川市金凤区悦海新天地商业广场枕水巷18号,0.0,106.254687,38.500931
610,宁夏,银川星空失恋博物馆,1,0.7011357093665588,26.9,0.0028781415428894485,宁夏·银川·西夏区,"106.142358,38.497483",治愈1000W人的星空失恋博物馆+网红打卡地，这里有扎心语录、分手“遗物”、前任故事，珍藏来自各地失恋者捐赠的展品。,0,银川市西夏区怀远路宁阳广场6楼主扶梯对面,0.0,106.142358,38.497483
611,宁夏,檀溪谷温泉会馆,1,0.7011357093665588,9.0,0.004882561545973172,宁夏·银川·兴庆区,"106.387405,38.408157",综合性、多元化的大型旅游景区,0,宁夏回族自治区银川市兴庆区掌政镇向东2公里处掌政镇赵家湖路,0.0,106.387405,38.408157
612,宁夏,黄河宫,1,0.7011357093665588,15.88,0.0020558153877781775,宁夏·中卫·沙坡头区,"105.202831,37.48833",宁夏境内的重要历史文物及回族民俗文物,0,宁夏中卫市沙坡头区黄河大桥向西1公里,0.0,105.202831,37.48833
613,宁夏,钟鼓楼,1,0.7011357093665588,329.0,0.003135118466361721,宁夏·银川·兴庆区,"106.287755,38.471047",登临阁上，扶栏眺望，银川景色，尽收眼底,0,宁夏银川市兴庆区解放东街,0.0,106.287755,38.471047
614,宁夏,长流水旅游区,3,0.7011357093665588,60.0,0.004420003083723082,宁夏·银川·灵武市,"106.379619,37.839522",自然天成的绿色景区,0,宁夏回族自治区银川灵武市长流水,0.0,106.379619,37.839522
615,宁夏,青铜峡黄河生态园,1,0.7011357093665588,119.0,0.0033920953898339927,宁夏·吴忠·青铜峡市,"106.0789652165,38.034125500512",万花争出，芳草如茵，金秋时节，满枝硕果,0,宁夏吴忠市青铜峡市,0.0,106.0789652165,38.034125500512
616,宁夏,宁夏沙温泉度假村,1,0.7011357093665588,108.0,0.004933956930667626,宁夏·银川·兴庆区,"106.423353,38.4417",优质的天然养生之地,0,宁夏银川市兴庆区掌政镇沙温泉度假村,0.0,106.423353,38.4417
617,宁夏,檀溪谷温泉水世界,1,0.7011357093665588,9.0,0.003957444621472992,宁夏·银川·兴庆区,"106.367439,38.409971",夏季玩水的狂欢乐园,0,宁夏银川兴庆区掌政镇鸣翠湖斜对面500米处,0.0,106.367439,38.409971
618,宁夏,黄河外滩长河栈道,1,0.7011357093665588,40.0,0.0,宁夏·银川,"106.45542,38.370407",亲近大自然,0,银川市兴庆区横城村,0.0,106.45542,38.370407
619,宁夏,奇石山文化旅游区,1,0.5455286796808351,60.0,0.0,宁夏·石嘴山,"106.39514217500376,38.99776446394351",石嘴山市靓丽的城市名片,0,宁夏石嘴山市大武口区环湖路附近,0.0,106.39514217500376,38.99776446394351
620,宁夏,兴龙腾射箭俱乐部,1,0.7011357093665588,48.8,0.0,宁夏·银川·西夏区,"106.16046,38.502335",,0,贺兰山体育场南门东侧,0.0,106.16046,38.502335
621,宁夏,SG竞技俱乐部,1,0.7011357093665588,16.0,0.0018502338490003598,宁夏·宁夏,"106.263785,38.516402",SG竞技俱乐部是宁夏首家室内高端水弹判定真人CS俱乐部，这是此类业态在区内首次入驻商场SG竞技俱乐部是宁夏首家室内高端竞,0,建发大阅城,0.0,106.263785,38.516402
622,宁夏,腾格里金沙海,1,0.7011357093665588,130.0,0.0028781415428894485,宁夏·中卫·沙坡头区,"105.140349,37.512982",感受它的沙漠之魅、丝路之魂、生态之秀,0,宁夏沙坡头区迎水桥镇迎闫公路与小湖路交汇处,0.0,105.140349,37.512982
