编号,城市,名称,星级,评分,价格,销量,省/市/区,坐标,简介,是否免费,具体地址
584,宁夏,黄沙古渡原生态旅游区,4 A,3.6,178,182,宁夏·银川·兴庆区,"106.557964,38.587458",大漠黄河，塞北江南,FALSE,宁夏银川市兴庆区月牙湖乡
585,宁夏,水洞沟旅游区,5 A,4.1,60,124,宁夏·银川·灵武市,"106.525497,38.289477",古人类、古长城遗址地,FALSE,"宁夏银川市灵武市临河镇水洞沟旅游景区（西距银川市19公里,距机场11公里）"
586,宁夏,贺兰山国家森林公园（苏峪口）,4 A,3.7,75,78,宁夏·银川·贺兰县,"105.999766,38.72118",自然风光和人文景致皆有的生态旅游区,FALSE,宁夏回族自治区银川贺兰县苏峪口
587,宁夏,北长滩,,0,80,74,宁夏·中卫·沙坡头区,"104.753975,37.352788",宁夏首批“全国历史文化名村”,FALSE,宁夏省中卫市沙坡头北长滩景区
588,宁夏,黄河军事文化博览园,,0,50,34,宁夏·银川,"106.419571,38.353896",军事主题和文化元素相融合的军事主题旅游景区,FALSE,宁夏银川滨河新区s203省道往陶乐方向（距临河收费站10公里处）
589,宁夏,张裕摩塞尔十五世酒庄,,0,80,30,宁夏·银川·西夏区,"106.112548,38.453937",高档综合型庄园,FALSE,宁夏银川市西夏区经济技术开发区六盘山路359号。
590,宁夏,青铜峡黄河大峡谷旅游区,4 A,0,95,26,宁夏·吴忠·青铜峡市,"105.998541,37.889516",素有“黄河上游小三峡”之称,FALSE,宁夏回族自治区吴忠市青铜峡市
591,宁夏,鸣翠湖国家湿地公园,4 A,3.6,38,26,宁夏·银川·兴庆区,"106.378331,38.405079",湖光戏柳，草树烟绵，百鸟翔集，鱼跃其间,FALSE,宁夏回族自治区银川市兴庆区掌政镇东1公里
592,宁夏,凤凰花溪谷,,0,20,24,宁夏·银川·兴庆区,"6.403497,38.441794",丝绸之路上一望无际的花海,FALSE,宁夏回族自治区银川市兴庆区掌政镇洼路村北京东路镇洼路出口800米
593,宁夏,通湖草原,,3.5,56,20,宁夏·中卫·沙坡头区,"104.93846704881,37.603261681652",晨观沙海日出，暮赏大漠孤烟，极富情趣,FALSE,银川中卫县
594,宁夏,览山公园,,0,329,20,宁夏·银川·金凤区,"106.221865,38.536269",览山地处银川市北部，东邻亲水大街。西、南与阅海公园相依，北边与广阔的田野相连。一个由合金组合成的巨大的具有伊斯兰风格的门,FALSE,宁夏回族自治区银川市金凤区沈阳中路
595,宁夏,中卫寺口子风景旅游区,4 A,3.5,75,16,宁夏·中卫·沙坡头区,"105.453767,37.298793",塞外罕见的丹霞地貌构成了这里的奇绝之景,FALSE,宁夏回族自治区中卫市沙坡头区宣和镇寺口风景区
596,宁夏,森淼生态旅游区,3A,0,15,16,宁夏·银川·银川植物园,"106.185404,38.424594",银川市郊的天然“氧吧”,FALSE,中国宁夏省银川市金凤区银川植物园内
597,宁夏,沙温泉度假区,,0,128,16,宁夏·银川·兴庆区,"106.422123,38.441026",沙温泉度假区是以沙文化为主题的温泉度假村，位于银川市兴庆区掌政镇，紧邻北京东路，距市区不足十公里。室内温泉以西北大漠风情,FALSE,银川市兴庆区孔司路南150米
598,宁夏,须弥山石窟旅游区,4 A,4.7,48,14,宁夏·固原·原州区,"105.997735,36.281909",石窟艺术和宗教文化,FALSE,宁夏省固原市三营镇黄铎堡街须弥山石窟文物管理所
599,宁夏,宁夏幻太奇海洋馆,,0,118,12,宁夏·银川·金凤区,"106.252743,38.501763",多功能于一体的休闲娱乐空间,FALSE,宁夏银川市金凤区康平路悦海新天地购物广场东区1-3层
600,宁夏,青铜峡黄河楼,4 A,0,68,12,宁夏·吴忠·青铜峡市,"106.148208,38.006734",屋面铺装金黄色琉璃瓦，整体风格恢弘大气,FALSE,宁夏自治区吴忠青铜峡市黄河路与滨河大道交叉处
601,宁夏,董府,,0,28,8,宁夏·吴忠·利通区,"106.09083,37.929213",董府距宁夏回族自治区吴忠市7千米，在吴青公路北侧500米处，该府西临黄河，北倚秦渠，南与牛首山遥遥相望。董府是自治区重点,FALSE,宁夏吴忠市利通区吴青公路北侧
602,宁夏,黄河外滩景区,,0,40,8,宁夏·银川,"106.455419,38.370405",“百里生态长廊、万倾湖泊湿地”的诗画长廊,FALSE,宁夏银川滨河新区横城村
603,宁夏,黄河坛景区,,0,40,6,宁夏·吴忠·青铜峡市,"105.899018,37.837951",黄河金岸的标志性建筑,FALSE,宁夏吴忠青铜峡市广武乡黄河坛
604,宁夏,西夏风情园,,0,8,4,宁夏·银川·西夏区,"106.037151,38.489313",全景式展现西夏王朝,FALSE,宁夏银川市北京西路1496号西夏广场斜对面
605,宁夏,腾格里湖湿地金沙岛,4 A,0,40,4,宁夏·中卫·沙坡头区,"105.126969,37.545048",沙漠中的伊甸园,FALSE,宁夏回族自治区中卫市迎水镇城区西约7公里
606,宁夏,水洞沟藏兵洞,,0,358,4,宁夏·银川·灵武市,"106.515494,38.296065",我国最早的地道战遗址和原型,FALSE,宁夏银川灵武市宁夏银川灵武市临河镇水洞沟旅游景区内
607,宁夏,宁夏园艺产业园,,0,28,2,宁夏·银川·贺兰县,"106.328766,38.585101",集观光、休闲、度假为一体的现代化园区,FALSE,宁夏银川市贺兰县习岗镇经济桥四社宁夏园艺产业园
608,宁夏,六盘山国家森林公园,4 A,5,0.9,2,宁夏·固原·泾源县,"106.353635,35.39634",关中平原的天然屏障，三大河流的发源地,FALSE,宁夏回族自治区固原市泾源县
609,宁夏,曼悦海温泉洗浴度假酒店,,0,88,70,宁夏·银川·金凤区,"106.254687,38.500931",都市“慢文化”为特色的综合性旅游度假酒店,FALSE,宁夏银川市金凤区悦海新天地商业广场枕水巷18号
610,宁夏,银川星空失恋博物馆,,0,26.9,42,宁夏·银川·西夏区,"106.142358,38.497483",治愈1000W人的星空失恋博物馆+网红打卡地，这里有扎心语录、分手“遗物”、前任故事，珍藏来自各地失恋者捐赠的展品。,FALSE,银川市西夏区怀远路宁阳广场6楼主扶梯对面
611,宁夏,檀溪谷温泉会馆,,0,9,76,宁夏·银川·兴庆区,"106.387405,38.408157",综合性、多元化的大型旅游景区,FALSE,宁夏回族自治区银川市兴庆区掌政镇向东2公里处掌政镇赵家湖路
612,宁夏,黄河宫,,0,15.88,35,宁夏·中卫·沙坡头区,"105.202831,37.48833",宁夏境内的重要历史文物及回族民俗文物,FALSE,宁夏中卫市沙坡头区黄河大桥向西1公里
613,宁夏,钟鼓楼,,4.4,329,56,宁夏·银川·兴庆区,"106.287755,38.471047",登临阁上，扶栏眺望，银川景色，尽收眼底,FALSE,宁夏银川市兴庆区解放东街
614,宁夏,长流水旅游区,3A,0,60,33,宁夏·银川·灵武市,"106.379619,37.839522",自然天成的绿色景区,FALSE,宁夏回族自治区银川灵武市长流水
615,宁夏,青铜峡黄河生态园,,0,119,92,宁夏·吴忠·青铜峡市,"106.0789652165,38.034125500512",万花争出，芳草如茵，金秋时节，满枝硕果,FALSE,宁夏吴忠市青铜峡市
616,宁夏,宁夏沙温泉度假村,,0,108,58,宁夏·银川·兴庆区,"106.423353,38.4417",优质的天然养生之地,FALSE,宁夏银川市兴庆区掌政镇沙温泉度假村
617,宁夏,檀溪谷温泉水世界,,0,9,97,宁夏·银川·兴庆区,"106.367439,38.409971",夏季玩水的狂欢乐园,FALSE,宁夏银川兴庆区掌政镇鸣翠湖斜对面500米处
618,宁夏,黄河外滩长河栈道,,0,40,42,宁夏·银川,"106.45542,38.370407",亲近大自然,FALSE,银川市兴庆区横城村
619,宁夏,奇石山文化旅游区,,0,60,63,宁夏·石嘴山,"106.39514217500376,38.99776446394351",石嘴山市靓丽的城市名片,FALSE,宁夏石嘴山市大武口区环湖路附近
620,宁夏,兴龙腾射箭俱乐部,,0,48.8,88,宁夏·银川·西夏区,"106.16046,38.502335",,FALSE,贺兰山体育场南门东侧
621,宁夏,SG竞技俱乐部,,0,16,68,宁夏·宁夏,"106.263785,38.516402",SG竞技俱乐部是宁夏首家室内高端水弹判定真人CS俱乐部，这是此类业态在区内首次入驻商场SG竞技俱乐部是宁夏首家室内高端竞,FALSE,建发大阅城
622,宁夏,腾格里金沙海,,0,130,98,宁夏·中卫·沙坡头区,"105.140349,37.512982",感受它的沙漠之魅、丝路之魂、生态之秀,FALSE,宁夏沙坡头区迎水桥镇迎闫公路与小湖路交汇处
623,宁夏,宁夏银川黄河高尔夫俱乐部,,0,880,79,宁夏·银川·兴庆区,"106.414968,38.380391",宁夏首家18洞高尔夫球场,FALSE,宁夏银川兴庆区掌政镇碱富桥村银横路黄河辅道桥收费站旁
624,宁夏,银川天山海世界·黄河明珠,,0,88,2,宁夏·银川·兴庆区,"106.505643,38.404477",有室内恒温水上乐园的大型综合旅游度假区,FALSE,宁夏银川市滨河新区滨河旅游大道北8号
625,宁夏,三关口明长城,,3.5,138,2,宁夏·银川·贺兰县,"106.387073,35.681128",银川地处祖国西北边陲，明朝蒙古鞑靼和瓦剌等部经常从内蒙古阿拉善台地进入贺兰山赤木口（今三关口），直驱平原各地。明统治者为,FALSE,宁夏省银川市贺兰县
626,宁夏,凤凰岛旅游区,,0,930,2,宁夏·吴忠·青铜峡市,"106.134192,37.996246",黄河金岸低空旅游体验中心,FALSE,宁夏青铜峡市黄河路与滨河大道交叉处凤凰岛旅游区
627,宁夏,奇石山滑雪场景区,,0,288,38,宁夏·石嘴山·大武口区,"106.402268,39.002389",高质量滑雪场，为你滑雪保驾护航,FALSE,宁夏石嘴山市大武口区山水大道中华奇石山北门（奇石山滑雪场）
628,宁夏,贺兰山风景区,,0,598,58,宁夏·银川·西夏区,"105.939382,38.758088",“驾长车，踏破贺兰山缺……”，贺兰山因为岳飞的《满江红》而闻名天下。贺兰山是宁夏和内蒙古的界山，山的东侧是宁夏，西侧是内,FALSE,银川市西夏区102省道
629,宁夏,砚家班相声会馆,,0,68,66,宁夏·银川·兴庆区,"106.275729,38.473577",一家专业的相声演出团体,FALSE,宁夏银川市兴庆区解放西街盛世春天三楼C02;
630,宁夏,沙坡头盛典,,0,238,70,宁夏·中卫·沙坡头区,"105.096267,37.504271",大型全息浸没式情景体验剧,FALSE,宁夏中卫沙坡头旅游新镇
631,宁夏,永宁文化园,4 A,0,1.8,52,宁夏·银川·永宁县,"106.244449,38.297385",领略回族历史宗教风俗文化的多姿多彩,FALSE,银川南 宁夏银川市永宁县城西高速路口
632,宁夏,红玛瑙枸杞观光园,,0,16,59,宁夏·银川·西夏区,"106.083641,38.531981",集采摘、体验为一体枸杞观光园,FALSE,宁夏银川市西夏区新小线3.5公里处
633,宁夏,青铜峡水库,,0,119,60,宁夏·吴忠·青铜峡旅游区,"106.005441,37.900724",滩地绿草如茵，岛上林木参天,FALSE,宁夏省吴忠市青铜峡镇青铜峡旅游区
634,宁夏,六盘山红军长征景区,4 A,0,20,74,宁夏·固原·隆德县,"106.212287,35.674691",首批中国100个经典红色旅游景区,FALSE,宁夏固原市隆德县杨家店村六盘山红军长征景区
635,宁夏,宁夏漫葡·天沐温泉小镇,,0,78,46,宁夏·银川·西夏区,"106.073903,38.628708",您养生休闲、旅游度假，快乐生活的源泉,FALSE,宁夏银川市西夏区镇北堡镇瑞信?镇北堡（天沐）温泉度假小镇（110国道与镇苏路交界处，镇北堡西部影视城对面）
636,宁夏,趣立方儿童职业体验馆,,0,168,49,宁夏·银川·兴庆区,"106.319643,38.50027",模拟体验社会职业角色了解、接触真实世界,FALSE,宁夏回族自治区银川市兴庆区丽景北街中国穆斯林国际商贸城主楼4层
637,宁夏,得天缘保龄球俱乐部,,0,5,64,宁夏·银川·西夏区,"106.159868,38.504265",宁夏得天缘文化体育产业发展有限公司，又名得天缘保龄球俱乐部，场馆坐落于银川市西夏区贺兰山体育场西南方向，成立于2017年,FALSE,贺兰山西路贺兰山体育场(西南角)
638,宁夏,GO嗨情绪解压馆,,0,88,76,宁夏·银川·金凤区,"106.253597,38.500164","GO嗨情绪解压馆，缓解你的心情释放你的压力；主要包含三大场馆，发泄馆、汉服馆和狱影鬼屋。
发泄馆采用安全“暴力”的方式，",FALSE,银川市金凤区康平路悦海新天地北京华联购物广场一楼F1-23B(海洋馆西南方100米，西西弗书店旁)
639,宁夏,Oasis VR馆,,0,48,71,宁夏·银川·金凤区,"106.254467,38.476363",银川Oasis VR游戏对战馆是一家多人VR互动游戏店，店内配备多台KAT VR万向行动平台VR设备，可实现虚拟空间内无,FALSE,银川市金凤区正源南街353号
640,宁夏,香水花海,,0,20,74,宁夏·固原·泾源县,"106.415679,35.460333",花海占地面积1.75万平米，建有精品花卉区、景观喷泉、美食广场、儿童游乐园、婚纱摄影阳光沙滩、大田花卉、体闲及自助美食体,FALSE,宁夏回族自治区固原市泾源县香水镇新可村
641,宁夏,六盘玩美乐园,,0,128,83,宁夏·固原·原州区,"106.262108,36.011277",极富刺激性与趣味性,FALSE,宁夏回族自治区固原市原州区上海路(福馨园对面)
642,宁夏,银川当代美术馆,,0,18,54,宁夏·银川,"106.374703,38.372132",大西北地区黄河畔的专业当代美术馆,FALSE,宁夏回族自治区银川市兴庆区禾乐路12号
643,宁夏,盛世汤泉,,0,33,57,宁夏·银川·兴庆区,"106.287104,38.451587",追求人与自然的完美体验,FALSE,宁夏回族自治区银川市兴庆区宝湖东路412号号附近
644,宁夏,华夏河图.银川艺术小镇,,0,18,50,宁夏·银川·兴庆区,"106.379312,38.366839",多元化发展的艺术聚落,FALSE,宁夏银川市兴庆区鱼悦南街2号（望通路与滨河大道交汇处向北两公里）
645,宁夏,颢丰蹦床公园,,0,48,81,宁夏·银川,"106.250516,38.469985",综合性游乐场地,FALSE,长城路与正源街交汇处向西150米处（长城中路211号）
646,宁夏,银川文化艺术博览中心,,0,9.9,78,宁夏·银川·金凤区,"106.229726,38.436099","银川文化艺术博览中心分为三层
1楼：（中庭）内容提取凤凰、贺兰山、黄河、城中湖、湿地等特色元素为创作灵感，描绘出具有典型",FALSE,银川市金凤区亲水南大街与六盘山中路交叉口东南侧
647,宁夏,宁夏博物馆,,0,329,42,宁夏·银川·金凤区,"106.241638,38.490741",宁夏博物馆位于银川市金凤区，整个建筑平面呈“回”字型布局，贴应了宁夏回族自治区的“回”字。外墙装饰所运用的迦陵频伽、力士,FALSE,银川市金凤区人民广场东街6号
648,宁夏,绝地玩家真人CS俱乐部,,0,78,85,宁夏·银川·西夏区,"106.160448,38.502272",,FALSE,红井巷贺兰山体育场南门东邻(近西夏万达/宁夏大学/火车站)
649,宁夏,cute zoo城市动物园,,0,68,75,宁夏·银川·西夏区,"106.156043,38.497253",中国航空运动协会宁夏安翔航空运动俱乐部航空飞行营地是由宁夏安翔航空运动俱乐部、宁夏翔宇航空文化有限公司建设的多功能飞行营,FALSE,银川市西夏区怀远东路与金波北街交汇处万达广场1号门3楼
650,宁夏,天山海世界黄河明珠,,0,68,33,宁夏·银川·兴庆区,"106.505643,38.404477",山海世界黄河明珠设计灵感源自迪拜亚特兰蒂斯水生活理念——奇迹、海洋、探索，把大海搬到了室内，让游客尽享水世界波澜风光。场,FALSE,银川市兴庆区滨河黄河大桥与203省道交叉口北侧
651,宁夏,拜寺口双塔,,3.7,7,78,宁夏·银川·贺兰县,"105.974029,38.687159",曾是西夏佛祖寺院所在地,FALSE,宁夏银川市老城区贺兰山东麓拜寺口
652,宁夏,万亩枸杞观光园,,3.5,238,64,宁夏·中卫·中宁县,"105.673876,37.502667",处处是硕果盈枝、鲜红欲滴的枸杞,FALSE,宁夏省中卫市中宁县舟塔乡
653,宁夏,火石寨国家地质公园,4 A,3.9,45,76,宁夏·固原·西吉县,"105.761388,36.093087",有堪称四绝的奇山，岩层，茂树，洞窟,FALSE,宁夏省固原市西吉县
654,安徽,黄山风景区,5 A,5,190,3924,安徽·黄山·黄山区,"118.193977,30.097967",五岳归来不看山，黄山归来不看岳,FALSE,安徽省黄山市黄山区黄山风景区
655,安徽,宏村,5 A,3.9,94,3389,安徽·黄山·黟县,"117.995474,30.010385",炊烟袅袅升起，行走在皖南小山村,FALSE,安徽省黄山市黟县宏村镇宏村里
656,安徽,合肥海洋世界,,0,155,2723,安徽·合肥·合肥市,"117.221988,31.788149",与极地海洋动物进行亲密互动,FALSE,安徽省合肥市经济技术开发区繁华大道321号
657,安徽,西递,5 A,3.5,92,2187,安徽·黄山·黟县,"118.003549,29.91024",徽派建筑，乡间水墨画,FALSE,安徽省黄山市黟县西递镇西递村
658,安徽,大青山野生动物世界,,0,80,674,安徽·马鞍山·当涂县,"118.514194,31.509494",大青山野生动物世界坐落于诗仙太白的第二故乡马鞍山市当涂县大青山风景区内，利用大青山的森林地貌，以及引进国际先进理念设计建,FALSE,马鞍山市当涂县太白镇永宁村
659,安徽,九华山,5 A,5,50,508,安徽·池州·青阳县,"117.810454,30.488263",神奇灵秀地，大愿九华山,FALSE,安徽省池州市九华山镇二一九省道
660,安徽,祥源花世界,,0,19,362,安徽·合肥·肥西县,"117.140445,31.700394",四季有花的主题公园,FALSE,合肥市肥西县金寨南路与深圳路西北侧
661,安徽,宿州野生动物园,,0,75,362,安徽·宿州·埇桥区,"117.14556,33.668276",集野生动物展示、科普教育和文化演艺于一体,FALSE,安徽省宿州市埇桥区朱仙庄洪河路（宿州植物园东2公里）
662,安徽,芜湖方特东方神画,,0,265,338,安徽·芜湖·鸠江区,"118.464405,31.365991",非物质文化博览园,FALSE,安徽省芜湖市鸠江区赤铸山东路（芜湖方特二期附近）
663,安徽,芜湖方特梦幻王国,5 A,0,245,308,安徽·芜湖·鸠江区,"118.466163,31.365534",东方梦幻乐园，亚洲科幻神奇,FALSE,安徽省芜湖市鸠江区赤铸山东路华强文化科技产业园
664,安徽,芜湖新华联大白鲸海洋公园,,0,188,262,安徽·芜湖·芜湖鸠兹古镇度假区,"118.454905,31.381289",人与自然、人与海洋极地生灵和谐共生,FALSE,安徽省芜湖市鸠江区万春路与徽州路交界处
665,安徽,合肥融创乐园,4 A,0,10,256,安徽·合肥·合肥融创文化旅游城,"117.310454,31.697388",各种娱乐设施让你嗨不停,FALSE,安徽省合肥市滨湖新区庐州大道788号合肥融创乐园（万年埠路合肥融创诺富特酒店对面路口入内）
666,安徽,黄山太平湖,4 A,0,58,206,安徽·黄山·黄山区,"118.025561,30.374314",“黄山情侣”太平湖，“中华翡翠”在皖南,FALSE,安徽省黄山市黄山区太平湖镇
667,安徽,姥山岛,,4,50,190,安徽·合肥·居巢区,"117.451478,31.570018",林木葱郁，四季常青，如青螺浮水,FALSE,安徽省巢湖市中庙镇巢湖湖心
668,安徽,徽州古城,5 A,3.5,95,182,安徽·黄山·歙县,"118.442455,29.871875",歙县古城的街巷基本保持着明、清风貌,FALSE,安徽省黄山市歙县古城东南部
669,安徽,天堂寨,5 A,5,89.7,176,安徽·六安·金寨县,"115.787575,31.136299",感受大自然的神气伟丽，品味乡野的淳朴善良,FALSE,安徽省金寨县天堂寨风景区
670,安徽,黄山翡翠谷,4 A,3.6,60,168,安徽·黄山·黄山区,"118.228912,30.117235",人间瑶池仙境，天下奇景丽水,FALSE,安徽省黄山市黄山区汤口镇翡翠新村001幢
671,安徽,八公山国家森林公园,,0,35,166,安徽·淮南·八公山区,"116.809099,32.638355",景色优美，风光秀丽,FALSE,安徽省淮南市八公山区丁山路八公山风景区
672,安徽,琅琊山,4 A,5,5,160,安徽·滁州·滁州市,"118.288777,32.283117",景色蔚然深秀，有“蓬莱之后无别山”之誉,FALSE,安徽省滁州市南谯区览山路111号
673,安徽,花戏楼,4 A,3.5,45,158,安徽·亳州·毫州市,"115.779926,33.890649",建筑雕刻精湛、彩绘绚丽，驰名中外,FALSE,安徽省亳州市谯城区咸宁街一号花戏楼路北段路东
674,安徽,马仁奇峰,4 A,3.8,54,154,安徽·芜湖·南陵县,"118.174791,30.978893",小张家界 | 云端玻璃栈道叫人腿抖,FALSE,安徽省芜湖市繁昌铜陵南陵三县交界处
675,安徽,南屏古镇,4 A,3.6,32,146,安徽·黄山·黟县,"117.910234,29.905838",走进乡村回归自然好去处,FALSE,安徽省黄山市黟县碧阳镇南屏村
676,安徽,牌坊群鲍家花园,5 A,0,90,144,安徽·黄山·歙县,"118.378696,29.868063",浓重徽州文化，悟儒家人生哲理和文化内涵,FALSE,安徽黄山歙县棠樾村
677,安徽,新安江山水画廊,4 A,3.5,133,140,安徽·黄山·歙县,"118.625539,29.868306",人行明镜中，鸟度屏风里,FALSE,安徽省黄山市歙县深渡镇
678,安徽,临泉魔幻动物园,,0,48,138,安徽·阜阳·临泉县,"115.251956,33.082811",临泉魔幻动物园坐落在安徽省阜阳市临泉县魔幻之都文化旅游项目内，魔幻动物园占地370000平方米，饲养着世界各地珍稀动物近,FALSE,阜阳市临泉县204省道旁魔幻之都
679,安徽,阜阳生态园,4 A,3.6,50,136,安徽·阜阳·颍泉区,"115.798013,32.939262",大型游乐园，是游客活动的好天地,FALSE,安徽省阜阳市欧阳修路666号
680,安徽,万佛湖,5 A,4.6,93.8,134,安徽·六安·舒城县,"116.783898,31.30951",60多个大小不一的岛屿，有安徽千岛湖之誉,FALSE,安徽省六安市舒城县万佛湖风景区
681,安徽,八里河,5 A,5,85,118,安徽·阜阳·颍上县,"116.3007,32.573837",飞流直下三千尺，疑是银河落九天,FALSE,安徽省阜阳市颍上县
682,安徽,丫山花海石林,4 A,3.6,68,116,安徽·芜湖·南陵县,"118.024199,30.816451",牡丹之乡，西山灵石,FALSE,安徽省芜湖市南陵县丫山镇丫山花海石林旅游区
683,安徽,秀里景区,,0,60,116,安徽·黄山·黟县,"117.958238,29.956469",秀里影视村是安徽省影视基地,FALSE,安徽省黄山市黟县宏村秀里影视村
684,安徽,呈坎,5 A,3.6,102,116,安徽·黄山·徽州区,"118.293031,29.928992",集自然八卦和人文八卦相结合的千年古村,FALSE,安徽省黄山市徽州区呈坎镇
685,安徽,鸠兹古镇,4 A,0,68,114,安徽·芜湖·芜湖鸠兹古镇度假区,"118.473303,31.374645",车水马龙，商贾云集，徽商扎堆的徽帮雄镇,FALSE,安徽省芜湖市鸠江区纬二路
686,安徽,曹操运兵道,,0,36,112,安徽·亳州·谯城区,"115.785453,33.878107",历史悠久，规模宏大的地下军事战道,FALSE,安徽省亳州市谯城区人民路49号
687,安徽,西海大峡谷,,0,100,106,安徽·黄山·黄山风景区,"118.160072,30.145754",安全、迅速、舒适、美观，轻松揽尽美景,FALSE,安徽省黄山市黄山区黄山景区西海大峡谷
688,安徽,燕子河大峡谷,4 A,0,45,106,安徽·六安·金寨县,"115.899347,31.249509",险崖、奇石、幽谷、秀水,FALSE,安徽省六安市金寨县燕子河镇西南部茶铺村境内
689,安徽,黟县卢村木雕楼景区,,0,36,104,安徽·黄山·黟县,"117.983587,30.020204",徽派民居的精华，中国木雕的点缀,FALSE,安徽省黄山市黟县宏村镇卢村
690,安徽,梧桐花谷,,0,23,102,安徽·铜陵,"118.085981,30.965845",种类繁多，花朵茂盛，景色宜人,FALSE,安徽省铜陵市义安区钟鸣镇水村村
691,安徽,太极洞,4 A,4.1,55.5,94,安徽·宣城·广德县,"119.616139,31.123154",洞藏山水间，等你千万年,FALSE,安徽省宣城市广德县太极洞风景区
692,安徽,深业半汤御泉庄温泉,,4.1,164,94,安徽·合肥·巢湖市,"117.908768,31.664963",泉水可沐浴可饮用，国内罕见,FALSE,安徽省合肥市巢湖区汤山路128号
693,安徽,巨石山,4 A,0,50,92,安徽·安庆·宜秀区,"117.092772,30.69348",登上吟风亭，心旷神怡，几欲羽化登仙,FALSE,安徽省安庆市宜秀区罗岭镇小龙山村
694,安徽,中环格林童话世界,,0,98,92,安徽·阜阳·临泉县,"0.0,0.0",中环格林童话世界位于临泉县前进路北侧、流鞍河南侧、西堤路西侧、古沈大道东侧，主要包含花海奇行板块、丛林冒险板块、秘境仙踪,FALSE,阜阳市临泉县前进西路田桥街道八里社区120临泉中之环置业
695,安徽,黄山芙蓉谷,4 A,0,70,82,安徽·黄山·黄山区,"118.164571,30.201696",群峰耸立，溪水如带，昂首舞爪，跃跃欲飞,FALSE,安徽省黄山市黄山区耿城镇（黄山风景区北门）
696,安徽,采石矶,5 A,5,55,82,安徽·马鞍山·雨山区,"118.466567,31.656788",千古画卷，诗仙长眠之地,FALSE,安徽省马鞍山市雨山区采石镇唐贤街1号
697,安徽,皇藏峪国家森林公园,4 A,5,38,80,安徽·宿州·萧县,"117.059492,34.029733",淮北部反映历史上生物群落面貌的区域,FALSE,安徽省宿州市萧县皇藏峪国家森林公园
698,安徽,安徽大龙山乌龙溪景区,,0,45,80,安徽·安庆·安庆市,"117.06817,30.589727",景色宜人,FALSE,安徽省安庆市宜秀区杨桥镇大龙山国家森林公园乌龙溪景区
699,安徽,三河古镇,5 A,4.6,45,80,安徽·合肥·肥西县,"117.250617,31.522255",典型的水乡古镇,FALSE,安徽省合肥市肥西县三河镇三杭路
700,安徽,木坑竹海,3A,3.5,35,78,安徽·黄山·黟县,"118.03725,30.009298",卧虎藏龙拍摄地，恰如世外桃源般令人神往,FALSE,安徽省黄山市黟县宏村木坑
701,安徽,查济古村,4 A,0,59.9,78,安徽·宣城·泾县,"118.067257,30.55036",十里查村九里烟，三溪汇流万户间,FALSE,安徽省宣城市泾县桃花潭镇查济村
702,安徽,敬亭山,4 A,3.9,45,76,安徽·宣城,"118.739596,30.991457",千古诗歌之山,FALSE,安徽省宣城市北郊
703,安徽,狼巷迷谷,4 A,3.7,55,74,安徽·滁州·凤阳县,"117.611931,32.664887",谷内景观千姿百态，如同天然迷宫,FALSE,安徽省滁州市凤阳县殷涧镇城东南30公里处
704,安徽,牯牛降景区,4 A,3.6,55,72,安徽·黄山·祁门县,"117.541334,30.020001",是我国中亚热带难得的一处森林生态保护区,FALSE,安徽省黄山市黄山区祁门县境内
705,安徽,六郎湿地花海公园,,0,49,68,安徽·芜湖,"118.55698,31.247451",花海月月有花、四季皆景,FALSE,安徽省芜湖市六郎镇329国道旁
706,安徽,天峡,4 A,0,108,66,安徽·安庆·岳西县,"116.049173,30.823101",峭壁林立，飞瀑流泉，草木葳蕤秀丽,FALSE,安徽省安庆市岳西县河图镇
707,安徽,齐云山景区,4 A,3.6,34,60,安徽·黄山·休宁县,"118.046452,29.819613",丹霞地貌、摩崖石刻、山水田园,FALSE,安徽省黄山市休宁县齐云山镇岩前街018号
708,安徽,韭山洞,,3.7,45,60,安徽·滁州·凤阳县,"117.566612,32.649339",虎踞龙蟠，摘星揽月,FALSE,安徽省滁州市凤阳县城南30公里处
709,安徽,天柱山,5 A,4.3,18,60,安徽·安庆·潜山市,"116.466287,30.739246",飞瀑流泉，溪涧遍布，山有多高，水有多长,FALSE,安徽省安庆市潜山县境内
710,安徽,蚌埠花博园,,0,25,58,安徽·蚌埠·怀远县,"117.243159,32.926051",综合性花卉产业园,FALSE,安徽省蚌埠市禹会区秦集镇宗洼村东海大道西段
711,安徽,天悦湾温泉,,0,107,54,安徽·安庆·岳西县,"116.353345,30.880441",集观光度假、休闲养生于一体的生态旅游区,FALSE,安徽省安庆市岳西县天堂镇天悦湾大道
712,安徽,九华山大愿文化园,,0,60,52,安徽·池州·九华山,"117.797575,30.553272",安忍不动犹如大地，静虑深密犹如秘藏,FALSE,安徽省池州市九华山风景区柯村新区
713,安徽,鄣山大峡谷,4 A,0,48.8,48,安徽·宣城·绩溪县,"118.750789,30.094484",徽乡餐秀、人杰石灵、峡谷龙吟、雪岩飞瀑,FALSE,安徽省宣城市绩溪县适之街新华书店2楼
714,安徽,皖西大裂谷,4 A,3.9,54,46,安徽·六安·金安区,"116.589532,31.477618",怪石嶙峋，泉水淙淙，可领略自然鬼斧神工,FALSE,安徽省六安市金安区张店镇
715,安徽,徽园,4 A,4.4,20,44,安徽·合肥·合肥市,"117.225253,31.789751",创徽派建筑之新秀,FALSE,安徽省合肥市繁华大道276号
